timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776897862165,939,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-1,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897863401,1082,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-2,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897864641,1056,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-3,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897865841,1042,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-4,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897866990,1114,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-5,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897868215,1104,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-6,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897869430,1094,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-7,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897870600,1059,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-8,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897871833,1113,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-9,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897873015,1099,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-10,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897874235,1067,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-11,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897875435,1011,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-12,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897876606,1175,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-13,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897877813,1088,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-14,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897879000,1149,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-15,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897880216,1078,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-16,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
1776897881412,1102,jp@gc - WebDriver Sampler,200,OK,Thread Group 1-17,text,true,,3608,0,2,2,https://dev-finance.netlify.app/#,0,0,0
